name ,date,ISIN ,issue date,coupon ,maturity date ,closing price ,yield to maturity 
CAN 1.5 May 22,2021-01-18,CA135087K866,2020-01-27,0.015,2022-05-01,101.78,0.0013
CAN 1.5 May 22,2021-01-19,CA135087K866,2020-01-27,0.015,2022-05-01,101.77,0.0013
CAN 1.5 May 22,2021-01-20,CA135087K866,2020-01-27,0.015,2022-05-01,101.74,0.0013
CAN 1.5 May 22,2021-01-21,CA135087K866,2020-01-27,0.015,2022-05-01,101.73,0.0013
CAN 1.5 May 22,2021-01-22,CA135087K866,2020-01-27,0.015,2022-05-01,101.73,0.0013
CAN 1.5 May 22,2021-01-25,CA135087K866,2020-01-27,0.015,2022-05-01,101.7,0.0013
CAN 1.5 May 22,2021-01-26,CA135087K866,2020-01-27,0.015,2022-05-01,101.7,0.0013
CAN 1.5 May 22,2021-01-27,CA135087K866,2020-01-27,0.015,2022-05-01,101.72,0.0013
CAN 1.5 May 22,2021-01-28,CA135087K866,2020-01-27,0.015,2022-05-01,101.71,0.0013
CAN 1.5 May 22,2021-01-29,CA135087K866,2020-01-27,0.015,2022-05-01,101.71,0.0013
CAN 0.25 Aug 22,2021-01-18,CA135087L286,2020-05-04,0.0025,2022-08-01,100.2,0.0013
CAN 0.25 Aug 22,2021-01-19,CA135087L286,2020-05-04,0.0025,2022-08-01,100.19,0.0013
CAN 0.25 Aug 22,2021-01-20,CA135087L286,2020-05-04,0.0025,2022-08-01,100.16,0.0013
CAN 0.25 Aug 22,2021-01-21,CA135087L286,2020-05-04,0.0025,2022-08-01,100.16,0.0013
CAN 0.25 Aug 22,2021-01-22,CA135087L286,2020-05-04,0.0025,2022-08-01,100.16,0.0013
CAN 0.25 Aug 22,2021-01-25,CA135087L286,2020-05-04,0.0025,2022-08-01,100.14,0.0013
CAN 0.25 Aug 22,2021-01-26,CA135087L286,2020-05-04,0.0025,2022-08-01,100.15,0.0013
CAN 0.25 Aug 22,2021-01-27,CA135087L286,2020-05-04,0.0025,2022-08-01,100.17,0.0013
CAN 0.25 Aug 22,2021-01-28,CA135087L286,2020-05-04,0.0025,2022-08-01,100.18,0.0013
CAN 0.25 Aug 22,2021-01-29,CA135087L286,2020-05-04,0.0025,2022-08-01,100.18,0.0013
CAN 0.25 Nov 22 ,2021-01-18,CA135087L369,2020-08-17,0.0025,2022-11-01,100.17,0.0017
CAN 0.25 Nov 22 ,2021-01-19,CA135087L369,2020-08-17,0.0025,2022-11-01,100.17,0.0017
CAN 0.25 Nov 22 ,2021-01-20,CA135087L369,2020-08-17,0.0025,2022-11-01,100.13,0.0017
CAN 0.25 Nov 22 ,2021-01-21,CA135087L369,2020-08-17,0.0025,2022-11-01,100.13,0.0017
CAN 0.25 Nov 22 ,2021-01-22,CA135087L369,2020-08-17,0.0025,2022-11-01,100.14,0.0017
CAN 0.25 Nov 22 ,2021-01-25,CA135087L369,2020-08-17,0.0025,2022-11-01,100.12,0.0017
CAN 0.25 Nov 22 ,2021-01-26,CA135087L369,2020-08-17,0.0025,2022-11-01,100.12,0.0017
CAN 0.25 Nov 22 ,2021-01-27,CA135087L369,2020-08-17,0.0025,2022-11-01,100.14,0.0017
CAN 0.25 Nov 22 ,2021-01-28,CA135087L369,2020-08-17,0.0025,2022-11-01,100.14,0.0017
CAN 0.25 Nov 22 ,2021-01-29,CA135087L369,2020-08-17,0.0025,2022-11-01,100.15,0.0017
CAN 0.25 Feb 23,2021-01-18,CA135087L773,2020-10-26,0.0025,2023-02-01,100.13,0.0019
CAN 0.25 Feb 23,2021-01-19,CA135087L773,2020-10-26,0.0025,2023-02-01,100.12,0.0019
CAN 0.25 Feb 23,2021-01-20,CA135087L773,2020-10-26,0.0025,2023-02-01,100.1,0.0019
CAN 0.25 Feb 23,2021-01-21,CA135087L773,2020-10-26,0.0025,2023-02-01,100.1,0.0019
CAN 0.25 Feb 23,2021-01-22,CA135087L773,2020-10-26,0.0025,2023-02-01,100.1,0.0019
CAN 0.25 Feb 23,2021-01-25,CA135087L773,2020-10-26,0.0025,2023-02-01,100.08,0.0019
CAN 0.25 Feb 23,2021-01-26,CA135087L773,2020-10-26,0.0025,2023-02-01,100.09,0.0019
CAN 0.25 Feb 23,2021-01-27,CA135087L773,2020-10-26,0.0025,2023-02-01,100.12,0.0019
CAN 0.25 Feb 23,2021-01-28,CA135087L773,2020-10-26,0.0025,2023-02-01,100.12,0.0019
CAN 0.25 Feb 23,2021-01-29,CA135087L773,2020-10-26,0.0025,2023-02-01,100.13,0.0019
CAN 10.5 Mar 21,2021-01-18,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.58,0.0042
CAN 10.5 Mar 21,2021-01-19,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.55,0.0042
CAN 10.5 Mar 21,2021-01-20,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.52,0.0042
CAN 10.5 Mar 21,2021-01-21,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.44,0.0042
CAN 10.5 Mar 21,2021-01-22,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.41,0.0042
CAN 10.5 Mar 21,2021-01-25,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.38,0.0042
CAN 10.5 Mar 21,2021-01-26,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.35,0.0042
CAN 10.5 Mar 21,2021-01-27,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.32,0.0042
CAN 10.5 Mar 21,2021-01-28,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.24,0.0042
CAN 10.5 Mar 21,2021-01-29,CA135087TZ75,1990-12-15,0.105,2021-03-15,101.21,0.0042
CAN 9.75 Jun 21,2021-01-18,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.5,0.0029
CAN 9.75 Jun 21,2021-01-19,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.48,0.0029
CAN 9.75 Jun 21,2021-01-20,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.44,0.0029
CAN 9.75 Jun 21,2021-01-21,CA135087UE28,1991-05-09,0.0975,2021-06-01,103.36,0.0029
